"name","team","salary"
"Cade Cunningham","Detroit Pistons",10050120
"Tomas Satoransky","Washington Wizards",1e+07
"Danny Green","Philadelphia 76ers",1e+07
"Kyle Anderson","Memphis Grizzlies",9937150
"Montrezl Harrell","Charlotte Hornets",9720900
"Jae Crowder","Phoenix Suns",9720900
"Serge Ibaka","Milwaukee Bucks",9720900
"Derrick Jones Jr.","Chicago Bulls",9720900
"Derrick Favors","Oklahoma City Thunder",9720900
"Ja Morant","Memphis Grizzlies",9603360
"Stephen Curry","Golden State Warriors",45780966
"James Harden","Philadelphia 76ers",44310840
"John Wall","Houston Rockets",44310840
"Russell Westbrook","Los Angeles Lakers",44211146
"Kevin Durant","Brooklyn Nets",42018900
"LeBron James","Los Angeles Lakers",41180544
"Giannis Antetokounmpo","Milwaukee Bucks",39344970
"Damian Lillard","Portland Trail Blazers",39344900
"Kawhi Leonard","LA Clippers",39344900
"Paul George","LA Clippers",39344900
"Klay Thompson","Golden State Warriors",37980720
"Jimmy Butler III","Miami Heat",36016200
"Tobias Harris","Philadelphia 76ers",35995950
"Khris Middleton","Milwaukee Bucks",35500000
"Anthony Davis","Los Angeles Lakers",35361360
"Rudy Gobert","Utah Jazz",35344828
"Kyrie Irving","Brooklyn Nets",35328700
"Bradley Beal","Washington Wizards",33724200
"Ben Simmons","LA Clippers",33003936
"Pascal Siakam","Toronto Raptors",33003936
"Jrue Holiday","Milwaukee Bucks",32413333
"Devin Booker","Phoenix Suns",31650600
"Karl-Anthony Towns","Minnesota Timberwolves",31650600
"Kristaps Porzingis","Washington Wizards",31650600
"Joel Embiid","Philadelphia 76ers",31579390
"Andrew Wiggins","Golden State Warriors",31579390
"Nikola Jokic","Denver Nuggets",31579390
"Kevin Love","Cleveland Cavaliers",31258256
"CJ McCollum","New Orleans Pelicans",30864198
"D'Angelo Russell","Minnesota Timberwolves",30013500
"Chris Paul","Phoenix Suns",3e+07
"Gordon Hayward","Charlotte Hornets",29925000
"Jamal Murray","Denver Nuggets",29467800
"Brandon Ingram","New Orleans Pelicans",29467800
"De'Aaron Fox","Sacramento Kings",28103550
"Bam Adebayo","Miami Heat",28103500
"Donovan Mitchell","Utah Jazz",28103500
"Jayson Tatum","Boston Celtics",28103500
"Al Horford","Boston Celtics",2.7e+07
"Kyle Lowry","Miami Heat",26894128
"Jaylen Brown","Boston Celtics",26758928
"DeMar DeRozan","Chicago Bulls",2.6e+07
"Draymond Green","Golden State Warriors",24026712
"Nikola Vucevic","Chicago Bulls",2.4e+07
"John Collins","Atlanta Hawks",2.3e+07
"Buddy Hield","Indiana Pacers",22768890
"Julius Randle","New York Knicks",21780000
"Malcolm Brogdon","Indiana Pacers",21700000
"Tim Hardaway Jr.","Dallas Mavericks",21308816
"Mike Conley","Utah Jazz",2.1e+07
"Gary Harris","Orlando Magic",20482143
"Danilo Gallinari","Atlanta Hawks",20475000
"Harrison Barnes","Sacramento Kings",20284091
"Jerami Grant","Detroit Pistons",20002500
"Jarrett Allen","Cleveland Cavaliers",2e+07
"Domantas Sabonis","Sacramento Kings",19800000
"Fred VanVleet","Toronto Raptors",19675926
"Zach LaVine","Chicago Bulls",19500000
"Bojan Bogdanovic","Utah Jazz",18700000
"Lonzo Ball","Chicago Bulls",18604651
"Clint Capela","Atlanta Hawks",18603448
"Eric Gordon","Houston Rockets",18218818
"Eric Bledsoe","LA Clippers",18125000
"Myles Turner","Indiana Pacers",1.8e+07
"Bogdan Bogdanovic","Atlanta Hawks",1.8e+07
"Terry Rozier","Charlotte Hornets",17905263
"Ricky Rubio","Cleveland Cavaliers",17800000
"Caris LeVert","Cleveland Cavaliers",17500000
"Jonathan Isaac","Orlando Magic",17400000
"Joe Harris","Brooklyn Nets",17357143
"Spencer Dinwiddie","Dallas Mavericks",17142857
"Steven Adams","Memphis Grizzlies",17073171
"Evan Fournier","New York Knicks",1.7e+07
"Markelle Fultz","Orlando Magic",16500000
"Aaron Gordon","Denver Nuggets",16409091
"OG Anunoby","Toronto Raptors",16071429
"Davis Bertans","Dallas Mavericks",1.6e+07
"Gary Trent Jr.","Toronto Raptors",1.6e+07
"Lauri Markkanen","Cleveland Cavaliers",15690909
"Duncan Robinson","Miami Heat",15650000
"Marcus Morris Sr.","LA Clippers",15627907
"Will Barton","Denver Nuggets",15625000
"Norman Powell","LA Clippers",15517241
"Dejounte Murray","San Antonio Spurs",15428880
"Derrick White","Boston Celtics",15178571
"Malik Beasley","Minnesota Timberwolves",14491964
"Marcus Smart","Boston Celtics",14339285
"Patrick Beverley","Minnesota Timberwolves",14320988
"Thaddeus Young","Toronto Raptors",14190000
"Jonas Valanciunas","New Orleans Pelicans",1.4e+07
"Doug McDermott","San Antonio Spurs",13750000
"Christian Wood","Houston Rockets",13666667
"Derrick Rose","New York Knicks",13445120
"Luke Kennard","LA Clippers",13347727
"Brook Lopez","Milwaukee Bucks",13302325
"Kentavious Caldwell-Pope","Washington Wizards",13038862
"Joe Ingles","Utah Jazz",13036364
"Kyle Kuzma","Washington Wizards",1.3e+07
"Taurean Prince","Minnesota Timberwolves",1.3e+07
"Robert Covington","LA Clippers",12975471
"T.J. Warren","New York Knicks",12690000
"Deandre Ayton","Phoenix Suns",12632950
"Terrence Ross","Orlando Magic",12500000
"Jordan Clarkson","Utah Jazz",12420000
"Dillon Brooks","Memphis Grizzlies",12200000
"Kelly Olynyk","Detroit Pistons",12195122
"Jusuf Nurkic","Portland Trail Blazers",1.2e+07
"Kelly Oubre Jr.","Charlotte Hornets",1.2e+07
"Josh Hart","Portland Trail Blazers",1.2e+07
"Josh Richardson","San Antonio Spurs",11615328
"Marvin Bagley III","Detroit Pistons",11312114
"Dwight Powell","Dallas Mavericks",11080125
"Devonte' Graham","New Orleans Pelicans",1.1e+07
"Zion Williamson","New Orleans Pelicans",10733400
"Larry Nance Jr.","New Orleans Pelicans",10690909
"Jeremy Lamb","Sacramento Kings",10500000
"Richaun Holmes","Sacramento Kings",10384500
"Reggie Jackson","LA Clippers",10384500
"Anthony Edwards","Minnesota Timberwolves",10245480
"Luka Doncic","Dallas Mavericks",10174391
"Alec Burks","New York Knicks",9536000
"Reggie Bullock Jr.","Dallas Mavericks",9536000
"Talen Horton-Tucker","Los Angeles Lakers",9500000
"Mason Plumlee","Charlotte Hornets",9248333
"Jaren Jackson Jr.","Memphis Grizzlies",9180560
"James Wiseman","Toronto Raptors",9166800
"Jalen Green","Houston Rockets",8992200
"Maxi Kleber","Dallas Mavericks",8975000
"De'Anthony Melton","Memphis Grizzlies",8805976
"Royce O'Neale","Utah Jazz",8800000
"Jakob Poeltl","San Antonio Spurs",8750000
"Kemba Walker","New York Knicks",8729020
"Thomas Bryant","Washington Wizards",8666667
"Alex Caruso","Chicago Bulls",8650651
"RJ Barrett","New York Knicks",8623920
